City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
214,Souillac,MU,2022-12-10 17:55:00,-20.5167,57.5167,75.58,88,75,10.36
215,Vila Velha,BR,2022-12-10 17:55:00,-20.3297,-40.2925,91.35,62,20,16.11
216,Camacha,PT,2022-12-10 17:55:00,33.0833,-16.3333,69.22,83,20,24.16
217,Conde,BR,2022-12-10 17:55:01,-7.2597,-34.9075,85.46,66,75,11.5
218,Hilo,US,2022-12-10 17:53:12,19.7297,-155.09,71.62,95,96,4.0
219,Volchikha,RU,2022-12-10 17:55:01,52.0333,80.3833,7.0,94,100,12.46
220,Ust-Nera,RU,2022-12-10 17:55:02,64.5667,143.2,-37.57,98,100,4.68
221,Nikolskoye,RU,2022-12-10 17:55:02,59.7035,30.7861,22.89,100,93,3.4
222,Riwaka,NZ,2022-12-10 17:55:03,-41.0833,173.0,56.01,72,4,2.51
223,Kamenka,RU,2022-12-10 17:55:03,51.3223,42.7678,30.67,85,100,19.64
224,Esperance,AU,2022-12-10 17:55:03,-33.8667,121.9,57.97,69,93,12.66
225,Sile,TR,2022-12-10 17:55:04,41.1754,29.6133,63.27,64,100,7.7
226,Waipawa,NZ,2022-12-10 17:55:04,-41.4122,175.5153,56.19,79,100,7.92
227,Manzhouli,CN,2022-12-10 17:55:05,49.6,117.4333,0.91,81,5,7.56
228,Sitio Novo Do Tocantins,BR,2022-12-10 17:55:05,-5.5183,-47.4611,89.53,62,40,4.61
229,Portoferraio,IT,2022-12-10 17:56:05,42.8115,10.3146,61.09,79,99,14.38
230,Yongan,CN,2022-12-10 17:56:06,39.6957,113.6871,13.77,45,0,1.19
231,Tenri,JP,2022-12-10 17:56:06,34.5833,135.8333,46.0,70,82,2.39
232,Cabo San Lucas,MX,2022-12-10 17:53:20,22.8909,-109.9124,79.52,63,3,1.99
233,Nosy Varika,MG,2022-12-10 17:56:07,-20.5833,48.5333,75.04,78,0,0.76
234,Oriximina,BR,2022-12-10 17:56:07,-1.7656,-55.8661,95.36,36,71,6.85
235,Khandyga,RU,2022-12-10 17:56:08,62.6667,135.6,-25.55,97,100,3.13
236,Jevargi,IN,2022-12-10 17:56:08,17.0167,76.7667,71.15,56,100,7.02
237,Vao,NC,2022-12-10 17:56:09,-22.6667,167.4833,78.24,79,100,11.65
238,Newport,GB,2022-12-10 17:56:09,51.5877,-2.9984,38.61,66,16,1.77
239,Am Timan,TD,2022-12-10 17:56:10,11.0297,20.2827,80.33,18,39,4.63
240,Cayenne,GF,2022-12-10 17:56:10,4.9333,-52.3333,86.04,66,100,11.5
241,Taligaman,PH,2022-12-10 17:56:10,8.9044,125.6558,72.73,97,100,2.06
242,Namibe,AO,2022-12-10 17:56:11,-15.1961,12.1522,72.34,75,3,5.7
243,Roma,US,2022-12-10 17:56:11,43.2128,-75.4557,38.73,54,2,5.99
244,Narsaq,GL,2022-12-10 17:56:11,60.9167,-46.05,11.66,65,0,8.1
245,Fort Morgan,US,2022-12-10 17:56:12,40.2503,-103.8,36.25,44,0,6.91
246,Sao Filipe,CV,2022-12-10 17:56:12,14.8961,-24.4956,78.91,68,66,3.2
